OriginalCompanyName,CleanedCompanyName,Status,Timestamp,Score
artielle/c.,artielle/c.,not found in KBO data table,2024-12-24 14:52:14,2
paulca sprl,paulca,ENT LP Stopped,2024-12-24 14:52:31,5
peeters/joseph,peeters/joseph,not found in KBO data table,2024-12-24 14:52:48,2
fiducial expertise,fiducial expertise,EU Stopped,2024-12-24 14:53:05,5
faja lobi,faja lobi,ENT LP Active,2024-12-24 14:53:22,1
fondation pour l'architecture,fondation pour l'architecture,not found in KBO data table,2024-12-24 14:53:38,2
dialogic sa [dialogic s.a.],dialogic sa [dialogic s.a.],not found in KBO data table,2024-12-24 14:53:54,2
cambier d,cambier d,not found in KBO data table,2024-12-24 14:54:10,2
gun productions bvba,gun productions,ENT LP Active,2024-12-24 14:54:27,1
konica minolta business solutions (belgium) nv,konica minolta business solutions (belgium),EU Active,2024-12-24 14:54:43,1
dethier b sa,dethier b sa,not found in KBO data table,2024-12-24 14:54:59,2
demeestere rik,demeestere rik,not found in KBO data table,2024-12-24 14:55:15,2
briffaerts bvba,briffaerts,ENT LP Stopped,2024-12-24 14:55:32,5
notteboom/sofie,notteboom/sofie,not found in KBO data table,2024-12-24 14:55:48,2
dams alex bvba [dams alex chape-industrievloeren],dams alex  [dams alex chape-industrievloeren],not found in KBO data table,2024-12-24 14:56:04,2
kapas bvba,kapas,EU Active,2024-12-24 14:56:21,1
mto [m.t.o.],mto [m.t.o.],not found in KBO data table,2024-12-24 14:56:37,2
raes d,raes d,not found in KBO data table,2024-12-24 14:56:54,2
charlier tuinen bvba,charlier tuinen,ENT LP Active,2024-12-24 14:57:10,1
serafino decoratie bvba,serafino decoratie,ENT LP Active,2024-12-24 14:57:26,1
ceulenaere,ceulenaere,not found in KBO data table,2024-12-24 14:57:43,2
pm zeefdruk,pm zeefdruk,EU Active,2024-12-24 14:57:59,1
beauty spot (the),beauty spot (the),not found in KBO data table,2024-12-24 14:58:15,2
s.v.t. bvba,s.v.t.,ENT LP Active,2024-12-24 14:58:31,1
activeidea sa,activeidea sa,not found in KBO data table,2024-12-24 14:58:48,2
rifo bvba,rifo,ENT LP Active,2024-12-24 14:59:04,1
