company_name,Sanctioned Names,Status,matched_keywords,Total_Score,risk_level
9g,No Match,error,No relevant keywords,12.0,high
a.b.c. kickers bvba,No Match,ENT LP Stopped,No relevant keywords,10.0,high
a.d. froidmont,No Match,EU Stopped,court,15.0,high
a.f. security,No Match,EU Stopped,,5.0,medium
a.f.m. new sa,No Match,error,,2.0,medium
a.m.d.i.,No Match,not found in KBO data table,,2.0,medium
aan de watergang nv,No Match,not found in KBO data table,,2.0,medium
abi place,No Match,ENT LP Active,,1.0,medium
ackerman bvba,No Match,ENT LP Active,"No relevant keywords, audit",11.0,high
activeidea sa,No Match,not found in KBO data table,No relevant keywords,7.0,high
adeac sa,No Match,not found in KBO data table,No relevant keywords,12.0,high
agence locale emploi,No Match,not found in KBO data table,No relevant keywords,7.0,high
agora deinze,No Match,ENT LP Stopped,No relevant keywords,15.0,high
airport 2000 sprl,No Match,error,No relevant keywords,12.0,high
akeru,No Match,error,No relevant keywords,7.0,high
algemene aannemingen merckx,No Match,ENT LP Stopped,No relevant keywords,10.0,high
alia consult,No Match,not found in KBO data table,No relevant keywords,7.0,high
altemp nv,No Match,ENT LP Active,,1.0,medium
alterimmo,No Match,EU Active,,1.0,medium
amadeus,No Match,error,No relevant keywords,17.0,high
andries/frieda,No Match,not found in KBO data table,No relevant keywords,17.0,high
anja,No Match,ENT LP Stopped,,5.0,medium
anseeuw houthandel bvba,No Match,not found in KBO data table,No relevant keywords,7.0,high
aquapunt d'autreppe sprl,No Match,ENT LP Stopped,,5.0,medium
aragonite bvba,No Match,ENT LP Stopped,,5.0,medium
art-toit sa,No Match,not found in KBO data table,No relevant keywords,22.0,high
artielle/c.,No Match,not found in KBO data table,No relevant keywords,7.0,high
association belge des enseignants & pratiquants de yoga (a.b.e.p.y.),No Match,not found in KBO data table,,2.0,medium
auto's bart,No Match,ENT LP Active,No relevant keywords,6.0,medium
autorijschool gino,No Match,ENT LP Stopped,No relevant keywords,10.0,high
aventure parc,No Match,not found in KBO data table,,2.0,medium
avva systems bvba,No Match,ENT LP Active,,1.0,medium
axel troch bvba,No Match,ENT LP Active,No relevant keywords,6.0,medium
az st lucas brugge,No Match,not found in KBO data table,No relevant keywords,12.0,high
azet,No Match,error,No relevant keywords,27.0,high
b & s projects bvba,No Match,EU Active,"No relevant keywords, liquidation",21.0,high
b next management sprl,No Match,ENT LP Active,No relevant keywords,11.0,high
b.s.n. bvba,No Match,ENT LP Active,,1.0,medium
babymoov,No Match,not found in KBO data table,,2.0,medium
baes/pierre,No Match,not found in KBO data table,,2.0,medium
bap-asmb,No Match,ENT LP Stopped,No relevant keywords,10.0,high
beauty spot (the),No Match,not found in KBO data table,,2.0,medium
